,year,country,value
0,2015,AL,8.7
1,2016,AL,11.37
2,2017,AL,10.29
3,2018,AL,7.34
4,2019,AL,5.61
5,2020,AL,4.88
6,2021,AL,6.02
7,2010,AT,224.79
8,2011,AT,220.66
9,2012,AT,221.12
10,2013,AT,227.2
11,2014,AT,221.64
12,2015,AT,228.75
13,2016,AT,227.44
14,2017,AT,226.09
15,2018,AT,233.46
16,2019,AT,229.61
17,2020,AT,218.36
18,2021,AT,213.74
19,2015,BA,22.85
20,2016,BA,15.96
21,2017,BA,15.53
22,2018,BA,11.55
23,2019,BA,11.94
24,2020,BA,14.47
25,2010,BE,263.14
26,2011,BE,272.29
27,2012,BE,262.28
28,2013,BE,249.91
29,2014,BE,257.67
30,2015,BE,267.88
31,2016,BE,278.36
32,2017,BE,281.54
33,2018,BE,277.31
34,2019,BE,263.75
35,2020,BE,254.51
36,2021,BE,247.12
37,2010,BG,618.596795180723
38,2011,BG,618.596795180723
39,2012,BG,5.32
40,2013,BG,5.68
41,2014,BG,4.8
42,2015,BG,5.29
43,2016,BG,6.66
44,2017,BG,7.44
45,2018,BG,7.22
46,2019,BG,5.48
47,2020,BG,6.24
48,2021,BG,7.12
49,2010,CH,143.39
50,2011,CH,144.6
51,2015,CH,141.76
52,2016,CH,145.15
53,2017,CH,139.63
54,2018,CH,146.51
55,2019,CH,145.57
56,2020,CH,144.28
57,2010,CY,4.48
58,2011,CY,4.82
59,2012,CY,5.31
60,2013,CY,4.57
61,2014,CY,4.6
62,2015,CY,5.74
63,2016,CY,7.04
64,2017,CY,8.31
65,2018,CY,5.28
66,2019,CY,5.61
67,2020,CY,4.64
68,2021,CY,5.91
69,2010,CZ,74.26
70,2011,CZ,72.12
71,2012,CZ,65.71
72,2013,CZ,64.83
73,2014,CZ,65.53
74,2015,CZ,68.29
75,2016,CZ,71.93
76,2017,CZ,67.72
77,2018,CZ,71.58
78,2019,CZ,72.89
79,2020,CZ,72.52
80,2021,CZ,72.55
81,2010,DE,1186.72
82,2011,DE,1159.0
83,2012,DE,1140.0
84,2013,DE,1106.0
85,2014,DE,1128.0
86,2015,DE,1124.0
87,2016,DE,1148.0
88,2017,DE,1124.0
89,2018,DE,1102.0
90,2019,DE,1106.0
91,2020,DE,1090.0
92,2021,DE,1072.02
93,2010,DK,131.2
94,2011,DK,133.0
95,2012,DK,125.4
96,2013,DK,125.2
97,2014,DK,125.6
98,2015,DK,120.6
99,2016,DK,129.4
100,2017,DK,124.0
101,2018,DK,129.2
102,2019,DK,124.6
103,2020,DK,121.2
104,2021,DK,122.2
105,2010,EE,8.96
106,2011,EE,8.37
107,2012,EE,7.96
108,2013,EE,7.88
109,2014,EE,618.596795180723
110,2015,EE,9.62
111,2016,EE,9.43
112,2017,EE,9.0
113,2018,EE,8.56
114,2019,EE,8.57
115,2020,EE,8.89
116,2021,EE,8.7
117,2010,EL,58.03
118,2011,EL,59.23
119,2012,EL,56.16
120,2013,EL,50.12
121,2014,EL,46.04
122,2015,EL,41.92
123,2016,EL,40.17
124,2017,EL,44.11
125,2018,EL,39.63
126,2019,EL,33.46
127,2020,EL,34.73
128,2021,EL,33.04
129,2010,ES,606.59
130,2011,ES,604.11
131,2012,ES,591.38
132,2013,ES,580.84
133,2014,ES,578.6
134,2015,ES,626.1
135,2016,ES,637.01
136,2017,ES,643.86
137,2018,ES,669.01
138,2019,ES,695.17
139,2020,ES,677.74
140,2021,ES,717.88
141,2010,EU27_2007,618.596795180723
142,2011,EU27_2007,618.596795180723
143,2012,EU27_2007,7532.74
144,2013,EU27_2007,7220.7
145,2014,EU27_2007,618.596795180723
146,2015,EU27_2007,7542.91
147,2016,EU27_2007,7755.59
148,2017,EU27_2007,7760.63
149,2018,EU27_2007,7887.91
150,2019,EU27_2007,7776.95
151,2010,EU27_2020,618.596795180723
152,2011,EU27_2020,618.596795180723
153,2012,EU27_2020,6696.96
154,2013,EU27_2020,6420.31
155,2014,EU27_2020,618.596795180723
156,2015,EU27_2020,6701.96
157,2016,EU27_2020,6888.36
158,2017,EU27_2020,6898.1
159,2018,EU27_2020,7008.99
160,2019,EU27_2020,6907.99
161,2020,EU27_2020,6822.3
162,2021,EU27_2020,6801.91
163,2010,EU28,618.596795180723
164,2011,EU28,618.596795180723
165,2012,EU28,7579.52
166,2013,EU28,7267.97
167,2014,EU28,618.596795180723
168,2015,EU28,7585.17
169,2016,EU28,7800.02
170,2017,EU28,7802.83
171,2018,EU28,7931.69
172,2019,EU28,7822.38
173,2010,FI,82.13
174,2011,FI,82.65
175,2012,FI,80.37
176,2013,FI,80.42
177,2014,FI,82.32
178,2015,FI,85.76
179,2016,FI,86.37
180,2017,FI,85.39
181,2018,FI,86.48
182,2019,FI,87.18
183,2020,FI,86.53
184,2021,FI,85.67
185,2010,FR,1519.25
186,2011,FR,1557.07
187,2012,FR,1477.69
188,2013,FR,1404.49
189,2014,FR,1419.16
190,2015,FR,1452.77
191,2016,FR,1464.15
192,2017,FR,1442.18
193,2018,FR,1460.0
194,2019,FR,1428.46
195,2020,FR,1434.59
196,2021,FR,1424.32
197,2010,HR,55.41
198,2011,HR,53.75
199,2012,HR,46.78
200,2013,HR,47.27
201,2014,HR,44.42
202,2015,HR,42.26
203,2016,HR,44.43
204,2017,HR,42.2
205,2018,HR,43.78
206,2019,HR,45.43
207,2020,HR,43.37
208,2021,HR,43.18
209,2010,HU,27.09
210,2011,HU,25.98
211,2012,HU,24.71
212,2013,HU,22.64
213,2014,HU,23.11
214,2015,HU,26.39
215,2016,HU,28.07
216,2017,HU,27.21
217,2018,HU,29.15
218,2019,HU,29.73
219,2020,HU,28.07
220,2021,HU,28.93
221,2010,IE,559.0
222,2011,IE,546.76
223,2012,IE,495.4
224,2013,IE,517.57
225,2014,IE,581.81
226,2015,IE,564.14
227,2016,IE,588.36
228,2017,IE,617.02
229,2018,IE,622.54
230,2019,IE,619.8
231,2020,IE,633.38
232,2021,IE,594.51
233,2012,IS,3.9
234,2013,IS,3.8
235,2014,IS,3.7
236,2015,IS,3.5
237,2016,IS,6.95
238,2017,IS,4.61
239,2018,IS,4.77
240,2019,IS,4.81
241,2020,IS,4.64
242,2021,IS,4.96
243,2010,IT,1075.41
244,2011,IT,1009.21
245,2012,IT,981.12
246,2013,IT,855.32
247,2014,IT,709.43
248,2015,IT,788.28
249,2016,IT,809.66
250,2017,IT,756.42
251,2018,IT,809.22
252,2019,IT,779.82
253,2020,IT,732.28
254,2021,IT,747.89
255,2010,LT,42.65
256,2011,LT,41.08
257,2012,LT,39.95
258,2013,LT,36.77
259,2014,LT,39.26
260,2015,LT,44.13
261,2016,LT,42.29
262,2017,LT,40.88
263,2018,LT,40.28
264,2019,LT,42.46
265,2020,LT,41.73
266,2021,LT,43.7
267,2010,LU,9.55
268,2011,LU,8.88
269,2012,LU,8.47
270,2013,LU,7.95
271,2014,LU,8.48
272,2015,LU,9.08
273,2016,LU,9.42
274,2017,LU,9.54
275,2018,LU,9.87
276,2019,LU,10.17
277,2020,LU,10.25
278,2021,LU,10.5
279,2010,LV,17.61
280,2011,LV,17.13
281,2012,LV,16.37
282,2013,LV,15.67
283,2014,LV,17.0
284,2015,LV,17.36
285,2016,LV,17.7
286,2017,LV,16.75
287,2018,LV,15.87
288,2019,LV,14.78
289,2020,LV,14.52
290,2021,LV,15.54
291,2014,ME,3.87
292,2015,ME,4.12
293,2016,ME,3.84
294,2017,ME,4.89
295,2018,ME,5.12
296,2019,ME,5.44
297,2020,ME,6.01
298,2014,MK,0.8
299,2015,MK,1.58
300,2017,MK,1.21
301,2018,MK,0.64
302,2019,MK,0.6
303,2020,MK,0.54
304,2021,MK,0.55
305,2010,MT,1.42
306,2011,MT,1.12
307,2012,MT,1.11
308,2013,MT,1.13
309,2014,MT,1.13
310,2015,MT,1.03
311,2016,MT,1.15
312,2017,MT,1.12
313,2018,MT,1.07
314,2019,MT,1.03
315,2020,MT,1.14
316,2021,MT,1.05
317,2010,NL,388.61
318,2011,NL,381.56
319,2012,NL,373.44
320,2013,NL,379.1
321,2014,NL,376.18
322,2015,NL,382.52
323,2016,NL,416.06
324,2017,NL,438.87
325,2018,NL,459.21
326,2019,NL,424.3
327,2020,NL,432.84
328,2021,NL,429.64
329,2010,PL,385.98
330,2011,PL,379.93
331,2012,PL,371.0
332,2013,PL,339.02
333,2014,PL,412.66
334,2015,PL,471.01
335,2016,PL,501.46
336,2017,PL,558.58
337,2018,PL,564.72
338,2019,PL,560.45
339,2020,PL,559.38
340,2021,PL,555.12
341,2010,PT,93.66
342,2011,PT,96.0
343,2012,PT,92.99
344,2013,PT,84.09
345,2014,PT,79.84
346,2015,PT,88.62
347,2016,PT,91.1
348,2017,PT,91.09
349,2018,PT,93.79
350,2019,PT,92.03
351,2020,PT,97.78
352,2021,PT,103.0
353,2010,RO,28.32
354,2011,RO,29.07
355,2012,RO,28.82
356,2013,RO,29.28
357,2014,RO,29.2
358,2015,RO,44.47
359,2016,RO,57.53
360,2017,RO,59.14
361,2018,RO,49.92
362,2019,RO,43.54
363,2020,RO,32.19
364,2021,RO,36.2
365,2012,RS,34.98
366,2013,RS,35.49
367,2014,RS,36.85
368,2015,RS,40.02
369,2016,RS,41.98
370,2017,RS,45.05
371,2018,RS,44.52
372,2019,RS,46.57
373,2020,RS,47.36
374,2021,RS,48.34
375,2010,SE,148.34
376,2011,SE,147.78
377,2012,SE,135.25
378,2013,SE,135.73
379,2014,SE,141.95
380,2015,SE,143.98
381,2016,SE,131.25
382,2017,SE,132.07
383,2018,SE,136.87
384,2019,SE,139.67
385,2020,SE,141.0
386,2021,SE,135.82
387,2010,SI,35.77
388,2011,SI,35.57
389,2012,SI,33.09
390,2013,SI,32.1
391,2014,SI,31.57
392,2015,SI,33.58
393,2016,SI,35.66
394,2017,SI,35.79
395,2018,SI,34.87
396,2019,SI,35.74
397,2020,SI,36.5
398,2021,SI,37.54
399,2010,SK,13.61
400,2011,SK,11.28
401,2012,SK,9.76
402,2013,SK,9.53
403,2014,SK,8.83
404,2015,SK,8.4
405,2016,SK,8.29
406,2017,SK,7.79
407,2018,SK,8.11
408,2019,SK,8.27
409,2020,SK,7.93
410,2021,SK,9.02
411,2012,TR,439.09
412,2013,TR,486.62
413,2014,TR,501.03
414,2015,TR,418.51
415,2016,TR,440.11
416,2017,TR,435.49
417,2018,TR,570.68
418,2019,TR,632.33
419,2020,TR,458.32
420,2021,TR,452.12
431,2014,XK,9.69
432,2015,XK,11.26
433,2016,XK,13.73
434,2017,XK,12.73
435,2018,XK,16.35
436,2019,XK,16.12
