DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2015,8.70,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2016,11.37,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2017,10.29,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2018,7.34,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2019,5.61,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2020,4.88,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AL,2021,6.02,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2010,224.79,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2011,220.66,e
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2012,221.12,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2013,227.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2014,221.64,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2015,228.75,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2016,227.44,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2017,226.09,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2018,233.46,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2019,229.61,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2020,218.36,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,AT,2021,213.74,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BA,2015,22.85,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BA,2016,15.96,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BA,2017,15.53,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BA,2018,11.55,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BA,2019,11.94,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BA,2020,14.47,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2010,263.14,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2011,272.29,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2012,262.28,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2013,249.91,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2014,257.67,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2015,267.88,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2016,278.36,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2017,281.54,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2018,277.31,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2019,263.75,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2020,254.51,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BE,2021,247.12,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2010,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2011,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2012,5.32,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2013,5.68,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2014,4.80,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2015,5.29,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2016,6.66,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2017,7.44,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2018,7.22,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2019,5.48,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2020,6.24,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,BG,2021,7.12,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2010,143.39,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2011,144.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2015,141.76,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2016,145.15,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2017,139.63,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2018,146.51,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2019,145.57,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CH,2020,144.28,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2010,4.48,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2011,4.82,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2012,5.31,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2013,4.57,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2014,4.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2015,5.74,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2016,7.04,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2017,8.31,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2018,5.28,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2019,5.61,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2020,4.64,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CY,2021,5.91,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2010,74.26,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2011,72.12,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2012,65.71,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2013,64.83,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2014,65.53,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2015,68.29,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2016,71.93,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2017,67.72,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2018,71.58,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2019,72.89,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2020,72.52,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,CZ,2021,72.55,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2010,1186.72,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2011,1159.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2012,1140.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2013,1106.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2014,1128.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2015,1124.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2016,1148.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2017,1124.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2018,1102.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2019,1106.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2020,1090.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DE,2021,1072.02,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2010,131.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2011,133.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2012,125.40,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2013,125.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2014,125.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2015,120.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2016,129.40,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2017,124.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2018,129.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2019,124.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2020,121.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,DK,2021,122.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2010,8.96,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2011,8.37,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2012,7.96,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2013,7.88,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2014,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2015,9.62,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2016,9.43,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2017,9.00,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2018,8.56,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2019,8.57,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2020,8.89,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EE,2021,8.70,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2010,58.03,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2011,59.23,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2012,56.16,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2013,50.12,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2014,46.04,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2015,41.92,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2016,40.17,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2017,44.11,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2018,39.63,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2019,33.46,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2020,34.73,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EL,2021,33.04,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2010,606.59,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2011,604.11,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2012,591.38,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2013,580.84,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2014,578.60,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2015,626.10,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2016,637.01,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2017,643.86,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2018,669.01,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2019,695.17,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2020,677.74,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,ES,2021,717.88,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2010,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2011,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2012,7532.74,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2013,7220.70,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2014,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2015,7542.91,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2016,7755.59,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2017,7760.63,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2018,7887.91,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2007,2019,7776.95,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2010,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2011,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2012,6696.96,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2013,6420.31,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2014,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2015,6701.96,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2016,6888.36,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2017,6898.10,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2018,7008.99,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2019,6907.99,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2020,6822.30,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU27_2020,2021,6801.91,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2010,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2011,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2012,7579.52,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2013,7267.97,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2014,,c
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2015,7585.17,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2016,7800.02,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2017,7802.83,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2018,7931.69,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,EU28,2019,7822.38,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2010,82.13,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2011,82.65,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2012,80.37,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2013,80.42,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2014,82.32,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2015,85.76,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2016,86.37,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2017,85.39,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2018,86.48,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2019,87.18,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2020,86.53,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FI,2021,85.67,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2010,1519.25,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2011,1557.07,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2012,1477.69,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2013,1404.49,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2014,1419.16,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2015,1452.77,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2016,1464.15,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2017,1442.18,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2018,1460.00,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2019,1428.46,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2020,1434.59,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,FR,2021,1424.32,p
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2010,55.41,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2011,53.75,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2012,46.78,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2013,47.27,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2014,44.42,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2015,42.26,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2016,44.43,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2017,42.20,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2018,43.78,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2019,45.43,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2020,43.37,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HR,2021,43.18,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2010,27.09,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2011,25.98,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2012,24.71,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2013,22.64,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2014,23.11,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2015,26.39,
ESTAT:TAG00044(1.0),24/10/22 23:00:00,A,THS_T,SL,B1000,HU,2016,28.07,
